Temps;EA0;Temps;EA1
0;-0.185850081034005;0;-7.92946080863476
0.008;-0.195788617245853;0.008;-8.07440524920821
0.016;-0.195788617245853;0.016;-8.11438992246985
0.024;-0.170942276716232;0.024;-7.06479224935174
0.032;-0.15603447239846;0.032;-6.54998958110809
0.04;-0.175911544822156;0.04;-7.24972136318684
0.048;-0.185850081034005;0.048;-7.90447038784623
0.056;-0.190819349139929;0.056;-8.0644090808928
0.064;-0.195788617245853;0.064;-8.12938417494297
0.072;-0.170942276716232;0.072;-7.07978650182486
0.08;-0.15603447239846;0.08;-6.52000107616186
0.088;-0.175911544822156;0.088;-7.24972136318684
0.096;-0.190819349139929;0.096;-7.83449720963836
0.104;-0.195788617245853;0.104;-8.11938800662756
0.112;-0.195788617245853;0.112;-8.17936501652002
0.12;-0.170942276716232;0.12;-7.05979416519404
0.128;-0.141126668080688;0.128;-6.10016200691462
0.136;-0.170942276716232;0.136;-7.19974052160978
0.144;-0.195788617245853;0.144;-7.79951062053442
0.152;-0.195788617245853;0.152;-8.11938800662756
0.16;-0.190819349139929;0.16;-8.08939950168133
0.168;-0.170942276716232;0.168;-7.08978267014027
0.176;-0.15603447239846;0.176;-6.4650221504271
0.184;-0.165973008610308;0.184;-7.07478841766715
0.192;-0.190819349139929;0.192;-7.7795182839036
0.2;-0.195788617245853;0.2;-8.11938800662756
0.208;-0.195788617245853;0.208;-8.07440524920821
0.216;-0.170942276716232;0.216;-7.09478075429797
0.224;-0.151065204292536;0.224;-6.28009303659201
0.232;-0.170942276716232;0.232;-7.05479608103633
0.24;-0.185850081034005;0.24;-7.74952977895737
0.248;-0.190819349139929;0.248;-8.07440524920821
0.256;-0.195788617245853;0.256;-8.13438225910068
0.264;-0.175911544822156;0.264;-7.17475010082126
0.272;-0.15603447239846;0.272;-6.39504897221923
0.28;-0.170942276716232;0.28;-7.00981332361698
0.288;-0.185850081034005;0.288;-7.69954893738031
0.296;-0.195788617245853;0.296;-8.04941482841969
0.304;-0.195788617245853;0.304;-8.14937651157379
0.312;-0.175911544822156;0.312;-7.2147347740829
0.32;-0.146095936186612;0.32;-6.0851677544415
0.328;-0.170942276716232;0.328;-6.94983631372452
0.336;-0.180880812928081;0.336;-7.53961024433374
0.344;-0.190819349139929;0.344;-8.02442440763116
0.352;-0.195788617245853;0.352;-8.14937651157379
0.36;-0.180880812928081;0.36;-7.41965622454882
0.368;-0.165973008610308;0.368;-6.96483056619763
0.376;-0.165973008610308;0.376;-6.84487654641271
0.384;-0.180880812928081;0.384;-7.46963706612587
0.392;-0.190819349139929;0.392;-8.01442823931575
0.4;-0.205727153457701;0.4;-8.12438609078526
0.408;-0.195788617245853;0.408;-8.02442440763116
0.416;-0.170942276716232;0.416;-7.01481140777469
0.424;-0.161003740504384;0.424;-6.72492252662778
0.432;-0.180880812928081;0.432;-7.44464664533734
0.44;-0.195788617245853;0.44;-8.00943015515804
0.448;-0.195788617245853;0.448;-8.12938417494297
0.456;-0.195788617245853;0.456;-8.10439375415444
0.464;-0.170942276716232;0.464;-7.05479608103633
0.472;-0.161003740504384;0.472;-6.65994743257761
0.48;-0.180880812928081;0.48;-7.35967921465635
0.488;-0.190819349139929;0.488;-7.82450104132295
0.496;-0.200757885351777;0.496;-8.11938800662756
0.504;-0.195788617245853;0.504;-8.12938417494297
0.512;-0.170942276716232;0.512;-6.98982098698616
0.52;-0.15603447239846;0.52;-6.4600240662694
0.528;-0.175911544822156;0.528;-7.24472327902913
0.536;-0.190819349139929;0.536;-7.80950678884983
0.544;-0.200757885351777;0.544;-8.12438609078526
0.552;-0.200757885351777;0.552;-8.10939183831215
0.56;-0.170942276716232;0.56;-7.09478075429797
0.568;-0.15603447239846;0.568;-6.45502598211169
0.576;-0.175911544822156;0.576;-7.15475776419044
0.584;-0.190819349139929;0.584;-7.83449720963836
0.592;-0.200757885351777;0.592;-8.13938034325838
0.6;-0.200757885351777;0.6;-8.13438225910068
0.608;-0.175911544822156;0.608;-7.10477692261338
