Temps;EA0;Temps;EA1
0;-0.215665689669549;0;-8.909085303545
0.008;-0.161003740504384;0.008;-7.08478458598256
0.016;-0.230573493987322;0.016;-9.46887072920799
0.024;-0.225604225881398;0.024;-9.30393395200372
0.032;-0.190819349139929;0.032;-7.92446272447705
0.04;-0.210696421563625;0.04;-8.4392653927207
0.048;-0.225604225881398;0.048;-9.46387264505029
0.056;-0.200757885351777;0.056;-8.41427497193217
0.064;-0.200757885351777;0.064;-8.21435160562396
0.072;-0.230573493987322;0.072;-9.48886306583881
0.08;-0.215665689669549;0.08;-8.83911212533712
0.088;-0.175911544822156;0.088;-7.399663887918
0.096;-0.225604225881398;0.096;-9.43888222426176
0.104;-0.220634957775474;0.104;-9.18397993221879
0.112;-0.185850081034005;0.112;-7.76952211558819
0.12;-0.215665689669549;0.12;-8.80412553623319
0.128;-0.225604225881398;0.128;-9.41389180347323
0.136;-0.200757885351777;0.136;-8.31931137293577
0.144;-0.200757885351777;0.144;-8.31931137293577
0.152;-0.230573493987322;0.152;-9.48886306583881
0.16;-0.210696421563625;0.16;-8.76913894712925
0.168;-0.165973008610308;0.168;-6.87986313551664
0.176;-0.230573493987322;0.176;-9.54884007573128
0.184;-0.220634957775474;0.184;-9.15399142727256
0.192;-0.195788617245853;0.192;-7.84949146211147
0.2;-0.205727153457701;0.2;-8.52923090755939
0.208;-0.225604225881398;0.208;-9.46887072920799
0.216;-0.200757885351777;0.216;-8.33930370956659
0.224;-0.195788617245853;0.224;-8.20935352146626
0.232;-0.230573493987322;0.232;-9.46887072920799
0.24;-0.210696421563625;0.24;-8.85410637781024
0.248;-0.101372523233294;0.248;-4.34583446756005
0.256;-0.225604225881398;0.256;-9.48886306583881
0.264;-0.220634957775474;0.264;-9.22396460548043
0.272;-0.185850081034005;0.272;-7.76452403143048
0.28;-0.210696421563625;0.28;-8.89908913522959
0.288;-0.225604225881398;0.288;-9.35391479358077
0.296;-0.195788617245853;0.296;-8.13938034325838
0.304;-0.200757885351777;0.304;-8.30431712046266
0.312;-0.225604225881398;0.312;-9.3789052143693
0.32;-0.205727153457701;0.32;-8.48424815014005
0.328;-0.190819349139929;0.328;-7.98943781852722
0.336;-0.230573493987322;0.336;-9.45387647673488
0.344;-0.215665689669549;0.344;-8.93407572433352
0.352;-0.161003740504384;0.352;-7.20473860576749
0.36;-0.230573493987322;0.36;-9.51885157078505
0.368;-0.225604225881398;0.368;-9.2889396995306
0.376;-0.190819349139929;0.376;-8.02442440763116
0.384;-0.200757885351777;0.384;-8.349299877882
0.392;-0.230573493987322;0.392;-9.49885923415422
0.4;-0.205727153457701;0.4;-8.45425964519382
0.408;-0.195788617245853;0.408;-7.92446272447705
0.416;-0.230573493987322;0.416;-9.54384199157357
0.424;-0.215665689669549;0.424;-8.99905081838369
0.432;-0.180880812928081;0.432;-7.54960641264915
0.44;-0.230573493987322;0.44;-9.45387647673488
0.448;-0.225604225881398;0.448;-9.2889396995306
0.456;-0.190819349139929;0.456;-7.9694454818964
0.464;-0.200757885351777;0.464;-8.24434011057019
0.472;-0.230573493987322;0.472;-9.42888605594635
0.48;-0.205727153457701;0.48;-8.43426730856299
0.488;-0.200757885351777;0.488;-8.2493381947279
0.496;-0.230573493987322;0.496;-9.48386498168111
0.504;-0.215665689669549;0.504;-8.85410637781024
0.512;-0.165973008610308;0.512;-6.95983248203993
0.52;-0.230573493987322;0.52;-9.4738688133657
0.528;-0.220634957775474;0.528;-9.1889780163765
0.536;-0.190819349139929;0.536;-7.83449720963836
0.544;-0.215665689669549;0.544;-8.87409871444106
0.552;-0.230573493987322;0.552;-9.35391479358077
0.56;-0.200757885351777;0.56;-8.29432095214724
0.568;-0.200757885351777;0.568;-8.26933053135872
0.576;-0.230573493987322;0.576;-9.50885540246963
0.584;-0.215665689669549;0.584;-8.75914277881384
0.592;-0.175911544822156;0.592;-7.13976351171732
0.6;-0.230573493987322;0.6;-9.49885923415422
0.608;-0.220634957775474;0.608;-9.21396843716502
0.616;-0.190819349139929;0.616;-7.78951445221901
0.624;-0.220634957775474;0.624;-8.79412936791778
0.632;-0.225604225881398;0.632;-9.44388030841947
0.64;-0.200757885351777;0.64;-8.27432861551642
0.648;-0.205727153457701;0.648;-8.23934202641249
0.656;-0.230573493987322;0.656;-9.49386114999652
0.664;-0.215665689669549;0.664;-8.74414852634072
0.672;-0.190819349139929;0.672;-7.77452019974589
0.68;-0.230573493987322;0.68;-9.45387647673488
0.688;-0.220634957775474;0.688;-9.16398759558797
0.696;-0.190819349139929;0.696;-7.75952594727278
0.704;-0.215665689669549;0.704;-8.75414469465613
0.712;-0.230573493987322;0.712;-9.42388797178865
0.72;-0.205727153457701;0.72;-8.36929221451283
0.728;-0.200757885351777;0.728;-8.30931520462036
0.736;-0.230573493987322;0.736;-9.49386114999652
0.744;-0.215665689669549;0.744;-8.79412936791778
0.752;-0.175911544822156;0.752;-7.17475010082126
0.76;-0.245481298305094;0.76;-9.53884390741587
0.768;-0.225604225881398;0.768;-9.15898951143026
0.776;-0.190819349139929;0.776;-7.84949146211147
0.784;-0.205727153457701;0.784;-8.4392653927207
0.792;-0.235542762093246;0.792;-9.43388414010406
0.8;-0.205727153457701;0.8;-8.28432478383183
0.808;-0.200757885351777;0.808;-8.24434011057019
0.816;-0.235542762093246;0.816;-9.4738688133657
0.824;-0.220634957775474;0.824;-8.80412553623319
0.832;-0.161003740504384;0.832;-6.04518308117986
0.84;-0.230573493987322;0.84;-9.48886306583881
0.848;-0.225604225881398;0.848;-9.1939761005342
0.856;-0.190819349139929;0.856;-7.67955660074949
0.864;-0.225604225881398;0.864;-8.98405656591058
0.872;-0.230573493987322;0.872;-9.36391096189618
0.88;-0.200757885351777;0.88;-8.1543745957315
0.888;-0.205727153457701;0.888;-8.30431712046266
0.896;-0.230573493987322;0.896;-9.39889755100012
0.904;-0.210696421563625;0.904;-8.54922324419022
0.912;-0.175911544822156;0.912;-6.41004322469234
0.92;-0.235542762093246;0.92;-9.44388030841947
0.928;-0.225604225881398;0.928;-9.02404123917222
0.936;-0.185850081034005;0.936;-7.44964472949505
0.944;-0.235542762093246;0.944;-9.50385731831193
0.952;-0.235542762093246;0.952;-9.35891287773848
0.96;-0.205727153457701;0.96;-8.16936884820461
0.968;-0.210696421563625;0.968;-8.30431712046266
0.976;-0.235542762093246;0.976;-9.51885157078505
0.984;-0.210696421563625;0.984;-8.58920791745186
0.992;-0.195788617245853;0.992;-7.8794799670577
1;-0.225604225881398;1;-9.53384582325816
1.008;-0.220634957775474;1.008;-9.08401824906468
1.016;-0.161003740504384;1.016;-6.70992827415466
