Temps;EA0
0;-0,192085203714669
0,01;-0,162227406166494
0,02;-0,187108904123306
0,03;-0,197061503306031
0,04;-0,172180005349219
0,05;-0,207014102488756
0,06;-0,197061503306031
0,07;-0,137345908209682
0,08;-0,202037802897394
0,09;-0,192085203714669
0,1;-0,142322207801044
0,11;-0,192085203714669
0,12;-0,182132604531944
0,13;-0,152274806983769
0,14;-0,182132604531944
0,15;-0,202037802897394
0,16;-0,177156304940581
0,17;-0,221943001262844
0,18;-0,192085203714669
0,19;-0,187108904123306
0,2;-0,197061503306031
0,21;-0,207014102488756
0,22;-0,157251106575131
0,23;-0,207014102488756
0,24;-0,197061503306031
0,25;-0,182132604531944
0,26;-0,177156304940581
0,27;-0,192085203714669
0,28;-0,197061503306031
0,29;-0,172180005349219
0,3;-0,192085203714669
0,31;-0,187108904123306
0,32;-0,211990402080119
0,33;-0,187108904123306
0,34;-0,177156304940581
0,35;-0,182132604531944
0,36;-0,177156304940581
0,37;-0,177156304940581
0,38;-0,182132604531944
0,39;-0,192085203714669
0,4;-0,197061503306031
0,41;-0,211990402080119
0,42;-0,197061503306031
0,43;-0,216966701671481
0,44;-0,187108904123306
0,45;-0,162227406166494
0,46;-0,197061503306031
0,47;-0,182132604531944
0,48;-0,157251106575131
0,49;-0,177156304940581
0,5;-0,192085203714669
0,51;-0,197061503306031
0,52;-0,162227406166494
0,53;-0,216966701671481
0,54;-0,192085203714669
0,55;-0,162227406166494
0,56;-0,207014102488756
0,57;-0,197061503306031
0,58;-0,152274806983769
0,59;-0,177156304940581
0,6;-0,162227406166494
0,61;-0,157251106575131
0,62;-0,207014102488756
0,63;-0,182132604531944
0,64;-0,192085203714669
0,65;-0,221943001262844
0,66;-0,182132604531944
0,67;-0,152274806983769
0,68;-0,216966701671481
0,69;-0,182132604531944
0,7;-0,197061503306031
0,71;-0,192085203714669
0,72;-0,177156304940581
0,73;-0,192085203714669
0,74;-0,226919300854206
0,75;-0,177156304940581
0,76;-0,167203705757856
0,77;-0,236871900036931
0,78;-0,221943001262844
0,79;-0,167203705757856
0,8;-0,216966701671481
0,81;-0,207014102488756
0,82;-0,192085203714669
0,83;-0,231895600445569
0,84;-0,177156304940581
0,85;-0,211990402080119
0,86;-0,192085203714669
0,87;-0,187108904123306
0,88;-0,192085203714669
0,89;-0,236871900036931
0,9;-0,162227406166494
0,91;-0,177156304940581
0,92;-0,202037802897394
0,93;-0,187108904123306
0,94;-0,207014102488756
0,95;-0,211990402080119
0,96;-0,157251106575131
0,97;-0,192085203714669
0,98;-0,192085203714669
0,99;-0,192085203714669
1;-0,197061503306031
1,01;-0,226919300854206
1,02;-0,157251106575131
1,03;-0,236871900036931
1,04;-0,187108904123306
1,05;-0,172180005349219
1,06;-0,207014102488756
1,07;-0,221943001262844
1,08;-0,177156304940581
1,09;-0,216966701671481
1,1;-0,226919300854206
1,11;-0,197061503306031
1,12;-0,236871900036931
1,13;-0,216966701671481
1,14;-0,172180005349219
1,15;-0,226919300854206
1,16;-0,187108904123306
1,17;-0,177156304940581
1,18;-0,202037802897394
1,19;-0,192085203714669
1,2;-0,177156304940581
1,21;-0,241848199628294
1,22;-0,177156304940581
1,23;-0,202037802897394
1,24;-0,226919300854206
1,25;-0,172180005349219
1,26;-0,216966701671481
1,27;-0,202037802897394
1,28;-0,177156304940581
1,29;-0,207014102488756
1,3;-0,241848199628294
1,31;-0,187108904123306
1,32;-0,221943001262844
1,33;-0,221943001262844
1,34;-0,177156304940581
1,35;-0,211990402080119
1,36;-0,202037802897394
1,37;-0,226919300854206
1,38;-0,256777098402381
1,39;-0,192085203714669
1,4;-0,231895600445569
1,41;-0,226919300854206
1,42;-0,216966701671481
1,43;-0,246824499219656
