Temps;EA0
0;-0.0427188901230693
0.008;-0.0427188901230693
0.016;-0.0526533164083958
0.024;-0.037751676980406
0.032;-0.0427188901230693
0.04;-0.0427188901230693
0.048;-0.0476861032657325
0.056;-0.0427188901230693
0.064;-0.0526533164083958
0.072;-0.037751676980406
0.08;-0.0427188901230693
0.088;-0.037751676980406
0.096;-0.0476861032657325
0.104;-0.0427188901230693
0.112;-0.0427188901230693
0.12;-0.0427188901230693
0.128;-0.0526533164083958
0.136;-0.057620529551059
0.144;-0.0427188901230693
0.152;-0.0427188901230693
0.16;-0.037751676980406
0.168;-0.0476861032657325
0.176;-0.0427188901230693
0.184;-0.0427188901230693
0.192;-0.0427188901230693
0.2;-0.0476861032657325
0.208;-0.057620529551059
0.216;-0.0476861032657325
0.224;-0.037751676980406
0.232;-0.0476861032657325
0.24;-0.037751676980406
0.248;-0.037751676980406
0.256;-0.0327844638377428
0.264;-0.0476861032657325
0.272;-0.0427188901230693
0.28;0.00198602816089988
0.288;-0.0427188901230693
0.296;-0.0427188901230693
0.304;-0.0526533164083958
0.312;-0.037751676980406
0.32;-0.0526533164083958
0.328;-0.0476861032657325
0.336;-0.037751676980406
0.344;-0.0327844638377428
0.352;-0.0427188901230693
0.36;-0.0427188901230693
0.368;-0.037751676980406
0.376;-0.0476861032657325
0.384;-0.037751676980406
0.392;-0.0427188901230693
0.4;-0.0427188901230693
0.408;-0.0327844638377428
0.416;-0.0476861032657325
0.424;-0.037751676980406
0.432;-0.057620529551059
0.44;-0.0625877426937222
0.448;-0.0427188901230693
0.456;-0.0427188901230693
0.464;-0.0427188901230693
0.472;-0.0476861032657325
0.48;-0.037751676980406
0.488;-0.0476861032657325
0.496;-0.037751676980406
0.504;-0.0476861032657325
0.512;-0.037751676980406
0.52;-0.0476861032657325
0.528;-0.0476861032657325
0.536;-0.0427188901230693
0.544;-0.037751676980406
0.552;-0.0476861032657325
0.56;-0.0427188901230693
0.568;-0.0476861032657325
0.576;-0.0327844638377428
0.584;-0.0427188901230693
0.592;-0.0427188901230693
0.6;-0.0327844638377428
0.608;-0.0427188901230693
0.616;-0.0427188901230693
0.624;-0.0427188901230693
0.632;-0.037751676980406
0.64;-0.0476861032657325
0.648;-0.0278172506950796
0.656;-0.0476861032657325
0.664;-0.0427188901230693
0.672;-0.0476861032657325
0.68;-0.0427188901230693
0.688;-0.0476861032657325
0.696;-0.037751676980406
0.704;-0.0427188901230693
0.712;-0.037751676980406
0.72;-0.0476861032657325
0.728;-0.0427188901230693
0.736;-0.0476861032657325
0.744;-0.057620529551059
0.752;-0.0427188901230693
0.76;-0.0427188901230693
0.768;-0.0427188901230693
0.776;-0.0476861032657325
0.784;-0.0427188901230693
