Temps;EA0;Temps;EA1
0;-0.0936567941680551;0;-4.92604419216514
0.005;-0.103620207868516;0.005;-4.72238599043339
0.01;-0.103620207868516;0.01;-5.52211697772145
0.015;-0.0886750873178244;0.015;-4.83663327433169
0.02;-0.0886750873178244;0.02;-4.83166600111872
0.025;-0.0986385010182858;0.025;-5.33336059562862
0.03;-0.0886750873178244;0.03;-4.77205872256309
0.035;-0.0886750873178244;0.035;-4.81179690826684
0.04;-0.103620207868516;0.04;-5.49728061165661
0.045;-0.0886750873178244;0.045;-4.81676418147981
0.05;-0.0936567941680551;0.05;-4.95088055822998
0.055;-0.103620207868516;0.055;-5.53205152414739
0.06;-0.0886750873178244;0.06;-4.69754962436855
0.065;-0.0886750873178244;0.065;-4.72238599043339
0.07;-0.103620207868516;0.07;-5.5469533437863
0.075;-0.0936567941680551;0.075;-4.84160054754466
0.08;-0.0986385010182858;0.08;-4.96081510465592
0.085;-0.103620207868516;0.085;-5.57178970985115
0.09;-0.0886750873178244;0.09;-4.77205872256309
0.095;-0.0936567941680551;0.095;-5.08499693498015
0.1;-0.0936567941680551;0.1;-5.37309878133237
0.105;-0.0886750873178244;0.105;-4.74225508328527
0.11;-0.0936567941680551;0.11;-5.07506238855422
0.115;-0.103620207868516;0.115;-5.52211697772145
0.12;-0.0836933804675937;0.12;-4.7372878100723
0.125;-0.0986385010182858;0.125;-5.20421149209142
0.13;-0.103620207868516;0.13;-5.53205152414739
0.135;-0.078711673617363;0.135;-4.42931687086821
0.14;-0.0886750873178244;0.14;-4.9806841975078
0.145;-0.103620207868516;0.145;-5.56185516342521
0.15;-0.0836933804675937;0.15;-4.66277871187776
0.155;-0.0936567941680551;0.155;-5.19427694566548
0.16;-0.103620207868516;0.16;-5.56185516342521
0.165;-0.0836933804675937;0.165;-4.55846597440541
0.17;-0.0986385010182858;0.17;-5.26878604386002
0.175;-0.0986385010182858;0.175;-5.34826241526753
0.18;-0.0737299667671323;0.18;-4.13624775130302
0.185;-0.0936567941680551;0.185;-5.24891695100814
0.19;-0.103620207868516;0.19;-5.51218243129551
0.195;-0.0687482599169016;0.195;-4.10147683881223
0.2;-0.0886750873178244;0.2;-5.37806605454534
0.205;-0.0986385010182858;0.205;-5.50224788486958
0.21;-0.0737299667671323;0.21;-4.16605139058083
0.215;-0.0936567941680551;0.215;-5.109833301045
0.22;-0.0986385010182858;0.22;-5.56185516342521
0.225;-0.0737299667671323;0.225;-4.08160774596035
0.23;-0.0936567941680551;0.23;-5.31349150277674
0.235;-0.0986385010182858;0.235;-5.56185516342521
0.24;-0.0836933804675937;0.24;-4.32500413339585
0.245;-0.0936567941680551;0.245;-5.35819696169347
0.25;-0.0936567941680551;0.25;-5.34329514205456
0.255;-0.0737299667671323;0.255;-4.04683683346957
0.26;-0.103620207868516;0.26;-5.37806605454534
0.265;-0.0986385010182858;0.265;-5.4823787920177
0.27;-0.078711673617363;0.27;-4.44421869050711
0.275;-0.0986385010182858;0.275;-5.43270605988801
0.28;-0.0936567941680551;0.28;-5.34826241526753
0.285;-0.0836933804675937;0.285;-4.41938232444227
0.29;-0.0886750873178244;0.29;-5.20917876530439
0.295;-0.0986385010182858;0.295;-5.55688789021224
0.3;-0.078711673617363;0.3;-4.4789896029979
0.305;-0.0936567941680551;0.305;-5.37806605454534
0.31;-0.0986385010182858;0.31;-5.52708425093442
0.315;-0.0737299667671323;0.315;-4.63794234581292
0.32;-0.0936567941680551;0.32;-5.40786969382316
0.325;-0.0986385010182858;0.325;-5.29858968313783
0.33;-0.078711673617363;0.33;-4.48395687621087
0.335;-0.0986385010182858;0.335;-5.43270605988801
0.34;-0.0836933804675937;0.34;-5.48734606523067
0.345;-0.0836933804675937;0.345;-4.61310597974807
0.35;-0.0986385010182858;0.35;-5.49231333844364
0.355;-0.0936567941680551;0.355;-4.86146964039654
0.36;-0.0836933804675937;0.36;-4.57336779404432
0.365;-0.0986385010182858;0.365;-5.27375331707299
0.37;-0.103620207868516;0.37;-5.3035569563508
0.375;-0.0836933804675937;0.375;-4.62800779938698
0.38;-0.108601914718747;0.38;-5.44264060631394
0.385;-0.0936567941680551;0.385;-4.91114237252623
0.39;-0.0886750873178244;0.39;-4.75715690292418
0.395;-0.0836933804675937;0.395;-5.42277151346207
0.4;-0.0886750873178244;0.4;-4.70251689758152
0.405;-0.0836933804675937;0.405;-4.61807325296104
0.41;-0.103620207868516;0.41;-5.46250969916582
0.415;-0.0936567941680551;0.415;-4.93101146537811
0.42;-0.0836933804675937;0.42;-4.70251689758152
0.425;-0.103620207868516;0.425;-5.51714970450848
0.43;-0.0936567941680551;0.43;-4.8018623618409
0.435;-0.0886750873178244;0.435;-4.64290961902589
0.44;-0.103620207868516;0.44;-5.31845877598971
0.445;-0.0936567941680551;0.445;-4.89127327967435
0.45;-0.0836933804675937;0.45;-4.71245144400746
0.455;-0.103620207868516;0.455;-5.45754242595285
0.46;-0.0886750873178244;0.46;-4.8515350939706
0.465;-0.0886750873178244;0.465;-4.84160054754466
0.47;-0.0936567941680551;0.47;-5.42277151346207
0.475;-0.0886750873178244;0.475;-4.63794234581292
0.48;-0.0886750873178244;0.48;-4.68761507794261
0.485;-0.108601914718747;0.485;-5.47741151880473
0.49;-0.0886750873178244;0.49;-4.81676418147981
0.495;-0.0936567941680551;0.495;-4.77702599577606
0.5;-0.108601914718747;0.5;-5.52708425093442
0.505;-0.0886750873178244;0.505;-4.79689508862793
0.51;-0.0886750873178244;0.51;-4.71245144400746
0.515;-0.103620207868516;0.515;-5.34826241526753
0.52;-0.0936567941680551;0.52;-4.84656782075763
0.525;-0.0936567941680551;0.525;-4.78199326898903
0.53;-0.108601914718747;0.53;-5.48734606523067
0.535;-0.0936567941680551;0.535;-4.8515350939706
0.54;-0.0986385010182858;0.54;-4.92604419216514
0.545;-0.103620207868516;0.545;-5.44264060631394
0.55;-0.0886750873178244;0.55;-4.63794234581292
0.555;-0.0936567941680551;0.555;-4.76709144935012
0.56;-0.108601914718747;0.56;-5.51218243129551
0.565;-0.0936567941680551;0.565;-4.81179690826684
0.57;-0.0936567941680551;0.57;-4.87637146003544
0.575;-0.108601914718747;0.575;-5.55688789021224
0.58;-0.0936567941680551;0.58;-4.74722235649824
0.585;-0.0836933804675937;0.585;-4.82669872790575
0.59;-0.103620207868516;0.59;-5.32839332241565
0.595;-0.0936567941680551;0.595;-4.83663327433169
0.6;-0.0986385010182858;0.6;-4.89127327967435
0.605;-0.108601914718747;0.605;-5.49728061165661
0.61;-0.0936567941680551;0.61;-4.84160054754466
0.615;-0.108601914718747;0.615;-5.03035692963749
0.62;-0.108601914718747;0.62;-5.44264060631394
0.625;-0.0886750873178244;0.625;-4.61310597974807
0.63;-0.0936567941680551;0.63;-4.84160054754466
0.635;-0.108601914718747;0.635;-5.52211697772145
0.64;-0.0936567941680551;0.64;-4.81179690826684
0.645;-0.0936567941680551;0.645;-4.96578237786889
0.65;-0.108601914718747;0.65;-5.56682243663818
0.655;-0.0936567941680551;0.655;-4.73232053685933
0.66;-0.0936567941680551;0.66;-4.90617509931326
0.665;-0.108601914718747;0.665;-5.35819696169347
0.67;-0.103620207868516;0.67;-4.83166600111872
0.675;-0.0986385010182858;0.675;-4.99061874393374
0.68;-0.108601914718747;0.68;-5.51714970450848
0.685;-0.0936567941680551;0.685;-4.76709144935012
0.69;-0.103620207868516;0.69;-5.14460421353579
0.695;-0.113583621568978;0.695;-5.45754242595285
0.7;-0.0936567941680551;0.7;-4.58330234047025
0.705;-0.0986385010182858;0.705;-4.96578237786889
0.71;-0.113583621568978;0.71;-5.53701879736036
0.715;-0.0936567941680551;0.715;-4.76212417613715
0.72;-0.0986385010182858;0.72;-5.109833301045
0.725;-0.108601914718747;0.725;-5.57675698306412
0.73;-0.0886750873178244;0.73;-4.48395687621087
0.735;-0.103620207868516;0.735;-5.05022602248937
0.74;-0.108601914718747;0.74;-5.3681315081194
0.745;-0.0936567941680551;0.745;-4.74225508328527
0.75;-0.108601914718747;0.75;-5.13466966710985
0.755;-0.113583621568978;0.755;-5.52211697772145
0.76;-0.0886750873178244;0.76;-4.39951323159039
0.765;-0.108601914718747;0.765;-5.26381877064705
0.77;-0.113583621568978;0.77;-5.44264060631394
0.775;-0.0836933804675937;0.775;-4.24056048877537
0.78;-0.0986385010182858;0.78;-5.12473512068391
0.785;-0.113583621568978;0.785;-5.52211697772145
0.79;-0.0886750873178244;0.79;-4.26042958162725
0.795;-0.103620207868516;0.795;-5.24394967779517
0.8;-0.113583621568978;0.8;-5.55688789021224
0.805;-0.0836933804675937;0.805;-4.18592048343271
0.81;-0.103620207868516;0.81;-5.13963694032282
0.815;-0.0936567941680551;0.815;-5.40786969382316
0.82;-0.0836933804675937;0.82;-4.08160774596035
0.825;-0.108601914718747;0.825;-5.24394967779517
0.83;-0.113583621568978;0.83;-5.51218243129551
0.835;-0.0836933804675937;0.835;-4.18592048343271
0.84;-0.113583621568978;0.84;-5.34826241526753
0.845;-0.118565328419209;0.845;-5.42277151346207
0.85;-0.078711673617363;0.85;-4.12134593166411
0.855;-0.113583621568978;0.855;-5.26878604386002
0.86;-0.113583621568978;0.86;-5.49728061165661
0.865;-0.0886750873178244;0.865;-4.05677137989551
0.87;-0.103620207868516;0.87;-5.34826241526753
0.875;-0.113583621568978;0.875;-5.54198607057333
0.88;-0.0886750873178244;0.88;-4.33493867982179
0.885;-0.108601914718747;0.885;-5.21414603851736
0.89;-0.108601914718747;0.89;-5.4178042402491
0.895;-0.0886750873178244;0.895;-4.26042958162725
0.9;-0.113583621568978;0.9;-5.33832786884159
0.905;-0.118565328419209;0.905;-5.49728061165661
0.91;-0.0886750873178244;0.91;-4.53362960834056
0.915;-0.118565328419209;0.915;-5.41283696703613
0.92;-0.113583621568978;0.92;-5.34329514205456
0.925;-0.0886750873178244;0.925;-4.15114957094193
0.93;-0.113583621568978;0.93;-5.39296787418425
0.935;-0.118565328419209;0.935;-5.47244424559176
0.94;-0.103620207868516;0.94;-4.53859688155353
0.945;-0.113583621568978;0.945;-5.43767333310097
0.95;-0.108601914718747;0.95;-5.15453875996172
0.955;-0.0986385010182858;0.955;-4.63794234581292
0.96;-0.113583621568978;0.96;-5.26878604386002
0.965;-0.113583621568978;0.965;-5.40290242061019
0.97;-0.103620207868516;0.97;-4.59323688689619
0.975;-0.113583621568978;0.975;-5.40290242061019
0.98;-0.113583621568978;0.98;-5.39296787418425
0.985;-0.0986385010182858;0.985;-4.68264780472964
0.99;-0.118565328419209;0.99;-5.46250969916582
0.995;-0.108601914718747;0.995;-4.96081510465592
1;-0.0936567941680551;1;-4.42434959765524
1.005;-0.118565328419209;1.005;-5.44264060631394
1.01;-0.108601914718747;1.01;-5.17937512602657
1.015;-0.0986385010182858;1.015;-4.65284416545182
1.02;-0.118565328419209;1.02;-5.47244424559176
1.025;-0.108601914718747;1.025;-4.8515350939706
1.03;-0.0986385010182858;1.03;-4.72735326364636
1.035;-0.118565328419209;1.035;-5.3035569563508
1.04;-0.108601914718747;1.04;-4.91114237252623
1.045;-0.103620207868516;1.045;-4.70251689758152
1.05;-0.123547035269439;1.05;-5.44760787952691
1.055;-0.108601914718747;1.055;-4.85650236718357
1.06;-0.103620207868516;1.06;-4.79689508862793
1.065;-0.123547035269439;1.065;-5.4823787920177
1.07;-0.103620207868516;1.07;-4.78199326898903
1.075;-0.0986385010182858;1.075;-4.56343324761838
1.08;-0.133510448969901;1.08;-5.48734606523067
1.085;-0.108601914718747;1.085;-4.80682963505387
1.09;-0.118565328419209;1.09;-4.76212417613715
1.095;-0.123547035269439;1.095;-5.50224788486958
1.1;-0.108601914718747;1.1;-4.82669872790575
1.105;-0.108601914718747;1.105;-4.82669872790575
1.11;-0.123547035269439;1.11;-5.32342604920268
1.115;-0.108601914718747;1.115;-4.76212417613715
1.12;-0.108601914718747;1.12;-4.77702599577606
1.125;-0.123547035269439;1.125;-5.45754242595285
1.13;-0.108601914718747;1.13;-4.82669872790575
1.135;-0.113583621568978;1.135;-4.8664369136095
1.14;-0.12852874211967;1.14;-5.48734606523067
1.145;-0.108601914718747;1.145;-4.76709144935012
1.15;-0.113583621568978;1.15;-4.64290961902589
1.155;-0.12852874211967;1.155;-5.49728061165661
1.16;-0.113583621568978;1.16;-4.786960542202
1.165;-0.118565328419209;1.165;-4.81676418147981
1.17;-0.12852874211967;1.17;-5.50721515808254
1.175;-0.113583621568978;1.175;-4.82173145469278
1.18;-0.113583621568978;1.18;-4.8664369136095
1.185;-0.123547035269439;1.185;-5.31349150277674
1.19;-0.113583621568978;1.19;-4.76709144935012
1.195;-0.113583621568978;1.195;-4.80682963505387
1.2;-0.12852874211967;1.2;-5.44760787952691
1.205;-0.118565328419209;1.205;-4.8018623618409
1.21;-0.118565328419209;1.21;-4.8664369136095
1.215;-0.133510448969901;1.215;-5.47741151880473
1.22;-0.113583621568978;1.22;-4.74722235649824
1.225;-0.113583621568978;1.225;-4.62304052617401
1.23;-0.133510448969901;1.23;-5.49231333844364
1.235;-0.113583621568978;1.235;-4.76709144935012
1.24;-0.113583621568978;1.24;-4.76709144935012
1.245;-0.138492155820131;1.245;-5.48734606523067
1.25;-0.118565328419209;1.25;-4.81676418147981
1.255;-0.113583621568978;1.255;-4.81676418147981
1.26;-0.12852874211967;1.26;-5.3035569563508
1.265;-0.118565328419209;1.265;-4.77205872256309
1.27;-0.113583621568978;1.27;-4.76709144935012
1.275;-0.138492155820131;1.275;-5.42773878667504
1.28;-0.118565328419209;1.28;-4.79689508862793
1.285;-0.123547035269439;1.285;-4.83166600111872
1.29;-0.133510448969901;1.29;-5.47244424559176
1.295;-0.118565328419209;1.295;-4.76212417613715
1.3;-0.113583621568978;1.3;-4.58826961368322
1.305;-0.133510448969901;1.305;-5.4823787920177
1.31;-0.118565328419209;1.31;-4.77702599577606
1.315;-0.118565328419209;1.315;-4.7372878100723
1.32;-0.138492155820131;1.32;-5.4823787920177
1.325;-0.123547035269439;1.325;-4.82173145469278
1.33;-0.123547035269439;1.33;-4.79689508862793
1.335;-0.133510448969901;1.335;-5.29362240992486
1.34;-0.123547035269439;1.34;-4.76212417613715
1.345;-0.123547035269439;1.345;-4.72238599043339
1.35;-0.138492155820131;1.35;-5.42773878667504
1.355;-0.123547035269439;1.355;-4.8515350939706
1.36;-0.118565328419209;1.36;-4.79192781541497
1.365;-0.143473862670362;1.365;-5.4823787920177
1.37;-0.123547035269439;1.37;-4.81676418147981
1.375;-0.113583621568978;1.375;-4.55846597440541
1.38;-0.138492155820131;1.38;-5.45754242595285
1.385;-0.123547035269439;1.385;-4.8018623618409
1.39;-0.108601914718747;1.39;-4.69258235115558
1.395;-0.143473862670362;1.395;-5.45257515273988
1.4;-0.123547035269439;1.4;-4.84160054754466
1.405;-0.118565328419209;1.405;-4.76212417613715
1.41;-0.138492155820131;1.41;-5.29362240992486
1.415;-0.12852874211967;1.415;-4.79192781541497
1.42;-0.123547035269439;1.42;-4.68264780472964
1.425;-0.143473862670362;1.425;-5.40786969382316
1.43;-0.12852874211967;1.43;-4.92604419216514
1.435;-0.123547035269439;1.435;-4.73232053685933
1.44;-0.143473862670362;1.44;-5.46747697237879
1.445;-0.12852874211967;1.445;-4.8018623618409
1.45;-0.118565328419209;1.45;-4.48892414942384
1.455;-0.143473862670362;1.455;-5.4178042402491
1.46;-0.133510448969901;1.46;-4.90617509931326
1.465;-0.118565328419209;1.465;-4.6081387065351
1.47;-0.143473862670362;1.47;-5.4178042402491
1.475;-0.12852874211967;1.475;-4.92604419216514
1.48;-0.123547035269439;1.48;-4.65284416545182
1.485;-0.143473862670362;1.485;-5.24891695100814
1.49;-0.143473862670362;1.49;-5.34826241526753
1.495;-0.123547035269439;1.495;-4.55846597440541
1.5;-0.143473862670362;1.5;-5.3532296884805
1.505;-0.138492155820131;1.505;-5.4178042402491
1.51;-0.123547035269439;1.51;-4.58330234047025
1.515;-0.143473862670362;1.515;-5.4178042402491
1.52;-0.133510448969901;1.52;-5.01545510999858
1.525;-0.118565328419209;1.525;-4.25546230841428
1.53;-0.143473862670362;1.53;-5.33832786884159
1.535;-0.153437276370823;1.535;-5.42773878667504
1.54;-0.123547035269439;1.54;-4.42931687086821
1.545;-0.148455569520593;1.545;-5.34826241526753
1.55;-0.148455569520593;1.55;-5.50224788486958
1.555;-0.123547035269439;1.555;-4.51872778870165
1.56;-0.143473862670362;1.56;-5.21911331173033
1.565;-0.148455569520593;1.565;-5.3532296884805
1.57;-0.118565328419209;1.57;-4.32003686018288
1.575;-0.148455569520593;1.575;-5.2886551367119
1.58;-0.143473862670362;1.58;-5.43767333310097
1.585;-0.123547035269439;1.585;-4.38461141195148
1.59;-0.148455569520593;1.59;-5.36316423490644
1.595;-0.148455569520593;1.595;-5.37309878133237
1.6;-0.108601914718747;1.6;-3.98226228170097
1.605;-0.148455569520593;1.605;-5.2389824045822
1.61;-0.153437276370823;1.61;-5.46250969916582
1.615;-0.113583621568978;1.615;-4.07664047274739
1.62;-0.148455569520593;1.62;-5.25885149743408
1.625;-0.153437276370823;1.625;-5.50721515808254
1.63;-0.118565328419209;1.63;-4.19088775664568
1.635;-0.143473862670362;1.635;-5.12970239389688
1.64;-0.153437276370823;1.64;-5.34826241526753
1.645;-0.113583621568978;1.645;-4.03193501383066
1.65;-0.148455569520593;1.65;-5.1744078528136
1.655;-0.153437276370823;1.655;-5.46250969916582
1.66;-0.123547035269439;1.66;-4.32003686018288
1.665;-0.153437276370823;1.665;-5.25885149743408
