Temps;EA0;Temps;EA1
0;-0.0637665530666709;0;-5.36316423490644
0.008;-0.0637665530666709;0.008;-5.52708425093442
0.016;-0.0637665530666709;0.016;-5.42773878667504
0.024;-0.0587848462164402;0.024;-4.99061874393374
0.032;-0.0587848462164402;0.032;-4.74722235649824
0.04;-0.0538031393662095;0.04;-4.27036412805319
0.048;-0.0587848462164402;0.048;-4.8018623618409
0.056;-0.0587848462164402;0.056;-5.0452587492764
0.064;-0.0637665530666709;0.064;-5.33336059562862
0.072;-0.0687482599169016;0.072;-5.42277151346207
0.08;-0.0637665530666709;0.08;-5.50224788486958
0.088;-0.0637665530666709;0.088;-5.03035692963749
0.096;-0.0538031393662095;0.096;-4.76212417613715
0.104;-0.0488214325159788;0.104;-4.38957868516445
0.112;-0.0587848462164402;0.112;-4.60317143332213
0.12;-0.0587848462164402;0.12;-4.9806841975078
0.128;-0.0637665530666709;0.128;-5.26381877064705
0.136;-0.0637665530666709;0.136;-5.31349150277674
0.144;-0.0687482599169016;0.144;-5.52708425093442
0.152;-0.0637665530666709;0.152;-5.44760787952691
0.16;-0.0587848462164402;0.16;-4.80682963505387
0.168;-0.0538031393662095;0.168;-4.30513504054397
0.176;-0.0488214325159788;0.176;-4.0418695602566
0.184;-0.0587848462164402;0.184;-4.78199326898903
0.192;-0.0587848462164402;0.192;-5.11480057425797
0.2;-0.0637665530666709;0.2;-5.38800060097128
0.208;-0.0687482599169016;0.208;-5.39793514739722
0.216;-0.0687482599169016;0.216;-5.4823787920177
0.224;-0.0637665530666709;0.224;-5.1744078528136
0.232;-0.0587848462164402;0.232;-4.77205872256309
0.24;-0.0388580188155174;0.24;-4.24056048877537
0.248;-0.0538031393662095;0.248;-4.53859688155353
0.256;-0.0587848462164402;0.256;-4.94094601180404
0.264;-0.0687482599169016;0.264;-5.20917876530439
0.272;-0.0687482599169016;0.272;-5.44264060631394
0.28;-0.0687482599169016;0.28;-5.43767333310097
0.288;-0.0637665530666709;0.288;-5.35819696169347
0.296;-0.0587848462164402;0.296;-4.80682963505387
0.304;-0.0587848462164402;0.304;-4.72735326364636
0.312;-0.0488214325159788;0.312;-4.45415323693305
0.32;-0.0538031393662095;0.32;-4.71741871722043
0.328;-0.0587848462164402;0.328;-4.94094601180404
0.336;-0.0637665530666709;0.336;-5.31349150277674
0.344;-0.0637665530666709;0.344;-5.45754242595285
0.352;-0.0637665530666709;0.352;-5.49231333844364
0.36;-0.0637665530666709;0.36;-5.35819696169347
0.368;-0.0587848462164402;0.368;-4.81179690826684
0.376;-0.0488214325159788;0.376;-4.13624775130302
0.384;-0.0538031393662095;0.384;-4.56840052083135
0.392;-0.0488214325159788;0.392;-4.89127327967435
0.4;-0.0587848462164402;0.4;-5.08499693498015
0.408;-0.0587848462164402;0.408;-5.45754242595285
0.416;-0.0687482599169016;0.416;-5.44760787952691
0.424;-0.0637665530666709;0.424;-5.51218243129551
0.432;-0.0538031393662095;0.432;-4.74722235649824
0.44;-0.0488214325159788;0.44;-4.65284416545182
0.448;-0.0538031393662095;0.448;-4.37964413873851
0.456;-0.0538031393662095;0.456;-4.71245144400746
0.464;-0.0637665530666709;0.464;-5.109833301045
0.472;-0.0637665530666709;0.472;-5.26381877064705
0.48;-0.0687482599169016;0.48;-5.43767333310097
0.488;-0.0687482599169016;0.488;-5.43767333310097
0.496;-0.0687482599169016;0.496;-5.45754242595285
0.504;-0.0637665530666709;0.504;-4.786960542202
0.512;-0.0538031393662095;0.512;-4.39951323159039
0.52;-0.0538031393662095;0.52;-4.56343324761838
0.528;-0.0587848462164402;0.528;-4.84656782075763
0.536;-0.0637665530666709;0.536;-5.21911331173033
0.544;-0.0637665530666709;0.544;-5.3681315081194
0.552;-0.0687482599169016;0.552;-5.34329514205456
0.56;-0.0637665530666709;0.56;-5.52708425093442
0.568;-0.0637665530666709;0.568;-5.02538965642452
0.576;-0.0587848462164402;0.576;-4.75715690292418
0.584;-0.0488214325159788;0.584;-4.15114957094193
0.592;-0.0587848462164402;0.592;-4.51376051548868
0.6;-0.0587848462164402;0.6;-4.97074965108186
0.608;-0.0687482599169016;0.608;-5.24394967779517
0.616;-0.0637665530666709;0.616;-5.45257515273988
0.624;-0.0637665530666709;0.624;-5.37309878133237
0.632;-0.0737299667671323;0.632;-5.4823787920177
0.64;-0.0637665530666709;0.64;-4.7372878100723
0.648;-0.0538031393662095;0.648;-4.74225508328527
0.656;-0.0587848462164402;0.656;-4.4144150512293
0.664;-0.0587848462164402;0.664;-4.64290961902589
0.672;-0.0687482599169016;0.672;-5.06016056891531
0.68;-0.0637665530666709;0.68;-5.26878604386002
0.688;-0.0687482599169016;0.688;-5.48734606523067
0.696;-0.0637665530666709;0.696;-5.43767333310097
0.704;-0.0687482599169016;0.704;-5.33832786884159
0.712;-0.0687482599169016;0.712;-4.786960542202
0.72;-0.0587848462164402;0.72;-4.65284416545182
0.728;-0.0587848462164402;0.728;-4.56343324761838
0.736;-0.0587848462164402;0.736;-4.82669872790575
0.744;-0.0637665530666709;0.744;-5.00552056357265
0.752;-0.0687482599169016;0.752;-5.3532296884805
0.76;-0.0737299667671323;0.76;-5.45257515273988
0.768;-0.0687482599169016;0.768;-5.50721515808254
0.776;-0.0637665530666709;0.776;-4.95088055822998
0.784;-0.0587848462164402;0.784;-4.80682963505387
0.792;-0.0488214325159788;0.792;-3.80840771924704
0.8;-0.0587848462164402;0.8;-4.60317143332213
0.808;-0.0637665530666709;0.808;-4.96081510465592
0.816;-0.0687482599169016;0.816;-5.07009511534125
0.824;-0.0687482599169016;0.824;-5.4823787920177
0.832;-0.0737299667671323;0.832;-5.40786969382316
0.84;-0.0737299667671323;0.84;-5.49728061165661
0.848;-0.0637665530666709;0.848;-4.75218962971121
0.856;-0.0637665530666709;0.856;-4.63794234581292
0.864;-0.0538031393662095;0.864;-3.94252409599721
0.872;-0.0637665530666709;0.872;-4.64290961902589
0.88;-0.0687482599169016;0.88;-5.0452587492764
0.888;-0.0737299667671323;0.888;-5.20917876530439
0.896;-0.0687482599169016;0.896;-5.39793514739722
0.904;-0.0737299667671323;0.904;-5.41283696703613
0.912;-0.0687482599169016;0.912;-5.45754242595285
0.92;-0.0637665530666709;0.92;-4.83663327433169
0.928;-0.0587848462164402;0.928;-4.62800779938698
0.936;-0.0587848462164402;0.936;-4.2206913959235
0.944;-0.0637665530666709;0.944;-4.68761507794261
0.952;-0.0687482599169016;0.952;-5.06016056891531
0.96;-0.0737299667671323;0.96;-5.3035569563508
0.968;-0.0737299667671323;0.968;-5.2886551367119
0.976;-0.078711673617363;0.976;-5.51218243129551
0.984;-0.078711673617363;0.984;-5.40786969382316
0.992;-0.0637665530666709;0.992;-4.79192781541497
1;-0.0538031393662095;1;-4.15611684415489
1.008;-0.0438397256657481;1.008;-3.77363680675626
1.016;-0.0587848462164402;1.016;-4.70748417079449
1.024;-0.0687482599169016;1.024;-5.01048783678561
1.032;-0.078711673617363;1.032;-5.32342604920268
1.04;-0.0687482599169016;1.04;-5.3532296884805
1.048;-0.0737299667671323;1.048;-5.45257515273988
1.056;-0.0737299667671323;1.056;-5.38303332775831
1.064;-0.0687482599169016;1.064;-4.77702599577606
1.072;-0.0687482599169016;1.072;-4.66774598509073
1.08;-0.0538031393662095;1.08;-4.12631320487708
1.088;-0.0637665530666709;1.088;-4.70251689758152
1.096;-0.0687482599169016;1.096;-4.93597873859107
1.104;-0.0737299667671323;1.104;-5.2886551367119
