Temps;EA0;Temps;EA1
0;-0.0886750873178244;0;-4.99061874393374
0.005;-0.0986385010182858;0.005;-5.42773878667504
0.01;-0.0836933804675937;0.01;-4.71245144400746
0.015;-0.0886750873178244;0.015;-4.95088055822998
0.02;-0.0936567941680551;0.02;-5.44264060631394
0.025;-0.0836933804675937;0.025;-4.70748417079449
0.03;-0.0836933804675937;0.03;-4.82669872790575
0.035;-0.0986385010182858;0.035;-5.48734606523067
0.04;-0.078711673617363;0.04;-4.72735326364636
0.045;-0.0836933804675937;0.045;-4.81676418147981
0.05;-0.0936567941680551;0.05;-5.45257515273988
0.055;-0.0836933804675937;0.055;-4.8018623618409
0.06;-0.0836933804675937;0.06;-4.83663327433169
0.065;-0.0936567941680551;0.065;-5.3681315081194
0.07;-0.0836933804675937;0.07;-4.82173145469278
0.075;-0.0836933804675937;0.075;-4.8018623618409
0.08;-0.0936567941680551;0.08;-5.40290242061019
0.085;-0.078711673617363;0.085;-4.74225508328527
0.09;-0.0836933804675937;0.09;-4.76709144935012
0.095;-0.0936567941680551;0.095;-5.43270605988801
0.1;-0.0836933804675937;0.1;-4.82669872790575
0.105;-0.0836933804675937;0.105;-4.66774598509073
0.11;-0.0936567941680551;0.11;-5.45754242595285
0.115;-0.078711673617363;0.115;-4.74225508328527
0.12;-0.0836933804675937;0.12;-4.69258235115558
0.125;-0.0936567941680551;0.125;-5.42277151346207
0.13;-0.0836933804675937;0.13;-4.8018623618409
0.135;-0.0836933804675937;0.135;-4.71741871722043
0.14;-0.0936567941680551;0.14;-5.33832786884159
0.145;-0.0836933804675937;0.145;-4.86146964039654
0.15;-0.0836933804675937;0.15;-4.6727132583037
0.155;-0.0986385010182858;0.155;-5.37309878133237
0.16;-0.0986385010182858;0.16;-4.84160054754466
0.165;-0.078711673617363;0.165;-4.64290961902589
0.17;-0.078711673617363;0.17;-5.41283696703613
0.175;-0.0836933804675937;0.175;-4.99061874393374
0.18;-0.078711673617363;0.18;-4.5435641547665
0.185;-0.0936567941680551;0.185;-5.43270605988801
0.19;-0.0836933804675937;0.19;-4.92107691895217
0.195;-0.078711673617363;0.195;-4.57336779404432
0.2;-0.0936567941680551;0.2;-5.39296787418425
0.205;-0.0886750873178244;0.205;-5.08996420819312
0.21;-0.078711673617363;0.21;-4.58330234047025
0.215;-0.0936567941680551;0.215;-5.30852422956377
0.22;-0.0936567941680551;0.22;-5.45257515273988
0.225;-0.078711673617363;0.225;-4.57833506725729
0.23;-0.0936567941680551;0.23;-5.33832786884159
0.235;-0.0936567941680551;0.235;-5.41283696703613
0.24;-0.0737299667671323;0.24;-4.53362960834056
0.245;-0.0936567941680551;0.245;-5.36316423490644
0.25;-0.0936567941680551;0.25;-5.31349150277674
0.255;-0.0737299667671323;0.255;-4.35480777267367
0.26;-0.0936567941680551;0.26;-5.3681315081194
0.265;-0.0936567941680551;0.265;-5.39296787418425
0.27;-0.0737299667671323;0.27;-4.42931687086821
0.275;-0.0886750873178244;0.275;-5.31845877598971
0.28;-0.0936567941680551;0.28;-5.46747697237879
0.285;-0.0687482599169016;0.285;-4.32003686018288
0.29;-0.0886750873178244;0.29;-5.2389824045822
0.295;-0.0936567941680551;0.295;-5.49231333844364
0.3;-0.0836933804675937;0.3;-4.45912051014602
0.305;-0.0886750873178244;0.305;-5.27375331707299
0.31;-0.0936567941680551;0.31;-5.44760787952691
0.315;-0.0687482599169016;0.315;-4.14121502451599
0.32;-0.0886750873178244;0.32;-5.2886551367119
0.325;-0.0936567941680551;0.325;-5.41283696703613
0.33;-0.078711673617363;0.33;-4.06670592632145
0.335;-0.0936567941680551;0.335;-5.29858968313783
0.34;-0.0936567941680551;0.34;-5.41283696703613
0.345;-0.0637665530666709;0.345;-3.87794954422861
0.35;-0.0936567941680551;0.35;-5.23401513136923
0.355;-0.0936567941680551;0.355;-5.4823787920177
0.36;-0.0737299667671323;0.36;-4.08657501917332
0.365;-0.0886750873178244;0.365;-5.15950603317469
0.37;-0.0936567941680551;0.37;-5.50224788486958
0.375;-0.0637665530666709;0.375;-3.7835713531822
0.38;-0.0936567941680551;0.38;-5.18434239923954
0.385;-0.0936567941680551;0.385;-5.44264060631394
0.39;-0.0737299667671323;0.39;-4.25546230841428
0.395;-0.0886750873178244;0.395;-5.19427694566548
0.4;-0.0936567941680551;0.4;-5.41283696703613
0.405;-0.0737299667671323;0.405;-4.3498404994607
0.41;-0.0886750873178244;0.41;-5.19924421887845
0.415;-0.0936567941680551;0.415;-5.42277151346207
0.42;-0.0737299667671323;0.42;-4.33990595303476
0.425;-0.0886750873178244;0.425;-5.11480057425797
0.43;-0.0986385010182858;0.43;-5.49231333844364
0.435;-0.0836933804675937;0.435;-4.44918596372008
0.44;-0.0836933804675937;0.44;-5.03532420285046
0.445;-0.0936567941680551;0.445;-5.51218243129551
0.45;-0.078711673617363;0.45;-4.63297507259995
0.455;-0.0886750873178244;0.455;-5.06512784212828
0.46;-0.0936567941680551;0.46;-5.44760787952691
0.465;-0.0836933804675937;0.465;-4.68264780472964
0.47;-0.0836933804675937;0.47;-5.07506238855422
0.475;-0.103620207868516;0.475;-5.41283696703613
0.48;-0.078711673617363;0.48;-4.69258235115558
0.485;-0.0886750873178244;0.485;-5.07506238855422
0.49;-0.0986385010182858;0.49;-5.42773878667504
0.495;-0.078711673617363;0.495;-4.70251689758152
0.5;-0.0836933804675937;0.5;-4.98565147072077
0.505;-0.0936567941680551;0.505;-5.48734606523067
0.51;-0.078711673617363;0.51;-4.69754962436855
0.515;-0.0886750873178244;0.515;-4.90120782610029
0.52;-0.0936567941680551;0.52;-5.48734606523067
0.525;-0.078711673617363;0.525;-4.75218962971121
0.53;-0.0836933804675937;0.53;-4.92107691895217
0.535;-0.0936567941680551;0.535;-5.43767333310097
0.54;-0.0836933804675937;0.54;-4.75218962971121
0.545;-0.0886750873178244;0.545;-4.92604419216514
