Temps;EA0;Temps;EA1
0;-0.0687482599169016;0;-5.40290242061019
0.008;-0.0687482599169016;0.008;-5.74564427230507
0.016;-0.0687482599169016;0.016;-5.50224788486958
0.024;-0.0587848462164402;0.024;-4.6727132583037
0.032;-0.0488214325159788;0.032;-4.02696774061769
0.04;-0.0637665530666709;0.04;-5.11976784747094
0.048;-0.0687482599169016;0.048;-5.56682243663818
0.056;-0.0687482599169016;0.056;-5.45754242595285
0.064;-0.0687482599169016;0.064;-5.44760787952691
0.072;-0.0587848462164402;0.072;-4.92107691895217
0.08;-0.0587848462164402;0.08;-4.79689508862793
0.088;-0.0637665530666709;0.088;-5.19924421887845
0.096;-0.0687482599169016;0.096;-5.24891695100814
0.104;-0.0737299667671323;0.104;-5.66616790089756
0.112;-0.0737299667671323;0.112;-5.64133153483272
0.12;-0.0538031393662095;0.12;-4.51376051548868
0.128;-0.0587848462164402;0.128;-4.68264780472964
0.136;-0.0587848462164402;0.136;-4.84160054754466
0.144;-0.0737299667671323;0.144;-5.53205152414739
0.152;-0.0737299667671323;0.152;-5.73074245266616
0.16;-0.0587848462164402;0.16;-4.89127327967435
0.168;-0.0438397256657481;0.168;-4.56343324761838
0.176;-0.0538031393662095;0.176;-4.50879324227571
0.184;-0.0637665530666709;0.184;-5.14957148674875
0.192;-0.0737299667671323;0.192;-5.68603699374944
0.2;-0.0737299667671323;0.2;-5.54198607057333
0.208;-0.0637665530666709;0.208;-5.05022602248937
0.216;-0.0687482599169016;0.216;-4.93597873859107
0.224;-0.0587848462164402;0.224;-4.74225508328527
0.232;-0.0687482599169016;0.232;-5.3532296884805
0.24;-0.0687482599169016;0.24;-5.41283696703613
0.248;-0.0687482599169016;0.248;-5.43270605988801
0.256;-0.0737299667671323;0.256;-5.60656062234193
0.264;-0.0637665530666709;0.264;-4.6081387065351
0.272;-0.0587848462164402;0.272;-4.84656782075763
0.28;-0.0637665530666709;0.28;-5.02042238321155
0.288;-0.0687482599169016;0.288;-5.51714970450848
0.296;-0.0737299667671323;0.296;-5.64133153483272
0.304;-0.0637665530666709;0.304;-5.03532420285046
0.312;-0.0538031393662095;0.312;-4.15611684415489
0.32;-0.0587848462164402;0.32;-4.51376051548868
0.328;-0.0687482599169016;0.328;-5.24394967779517
0.336;-0.078711673617363;0.336;-5.64629880804569
0.344;-0.0687482599169016;0.344;-5.61649516876787
0.352;-0.0637665530666709;0.352;-4.70748417079449
0.36;-0.0637665530666709;0.36;-4.81179690826684
