Temps;EA0;Temps;EA1
0;-0.0637665530666709;0;-3.90775318350643
0.005;-0.078711673617363;0.005;-4.8018623618409
0.01;-0.0886750873178244;0.01;-5.37806605454534
0.015;-0.0737299667671323;0.015;-4.59820416010916
0.02;-0.078711673617363;0.02;-4.6081387065351
0.025;-0.0886750873178244;0.025;-5.28368786349893
0.03;-0.0836933804675937;0.03;-5.02042238321155
0.035;-0.0587848462164402;0.035;-3.80344044603407
0.04;-0.078711673617363;0.04;-4.87140418682247
0.045;-0.0886750873178244;0.045;-5.26381877064705
0.05;-0.0737299667671323;0.05;-4.64290961902589
0.055;-0.0737299667671323;0.055;-4.61310597974807
0.06;-0.0886750873178244;0.06;-5.26381877064705
0.065;-0.0836933804675937;0.065;-5.13466966710985
0.07;-0.0687482599169016;0.07;-4.20578957628459
0.075;-0.0886750873178244;0.075;-5.01545510999858
0.08;-0.0886750873178244;0.08;-5.11480057425797
0.085;-0.078711673617363;0.085;-4.67768053151667
0.09;-0.078711673617363;0.09;-4.6727132583037
0.095;-0.0836933804675937;0.095;-5.24394967779517
0.1;-0.0836933804675937;0.1;-5.17937512602657
0.105;-0.0737299667671323;0.105;-4.39454595837742
0.11;-0.0836933804675937;0.11;-5.13963694032282
0.115;-0.0836933804675937;0.115;-5.20421149209142
0.12;-0.0737299667671323;0.12;-4.42931687086821
0.125;-0.078711673617363;0.125;-4.74722235649824
0.13;-0.0836933804675937;0.13;-5.24891695100814
0.135;-0.0836933804675937;0.135;-4.85650236718357
0.14;-0.0687482599169016;0.14;-4.39951323159039
0.145;-0.0836933804675937;0.145;-5.18930967245251
0.15;-0.0886750873178244;0.15;-5.28368786349893
0.155;-0.0637665530666709;0.155;-3.83821135852486
0.16;-0.0737299667671323;0.16;-4.61310597974807
0.165;-0.0886750873178244;0.165;-5.35819696169347
0.17;-0.0737299667671323;0.17;-4.63794234581292
0.175;-0.0737299667671323;0.175;-4.44421869050711
0.18;-0.0886750873178244;0.18;-5.19924421887845
0.185;-0.0886750873178244;0.185;-5.33832786884159
0.19;-0.0687482599169016;0.19;-4.31010231375694
0.195;-0.078711673617363;0.195;-4.69754962436855
0.2;-0.0836933804675937;0.2;-5.20917876530439
0.205;-0.078711673617363;0.205;-4.6727132583037
0.21;-0.0737299667671323;0.21;-4.42931687086821
0.215;-0.0886750873178244;0.215;-5.17937512602657
0.22;-0.0886750873178244;0.22;-5.3532296884805
0.225;-0.0737299667671323;0.225;-4.38461141195148
0.23;-0.078711673617363;0.23;-4.89624055288732
0.235;-0.0836933804675937;0.235;-5.11480057425797
0.24;-0.0737299667671323;0.24;-4.64290961902589
0.245;-0.0737299667671323;0.245;-4.49885869584978
0.25;-0.0886750873178244;0.25;-5.16447330638766
0.255;-0.0836933804675937;0.255;-5.29858968313783
0.26;-0.0737299667671323;0.26;-4.32500413339585
0.265;-0.0836933804675937;0.265;-4.96578237786889
0.27;-0.0836933804675937;0.27;-5.19924421887845
0.275;-0.0737299667671323;0.275;-4.45912051014602
0.28;-0.0737299667671323;0.28;-4.50382596906275
0.285;-0.078711673617363;0.285;-5.15453875996172
0.29;-0.0886750873178244;0.29;-5.2886551367119
0.295;-0.0687482599169016;0.295;-4.13128047809005
0.3;-0.0836933804675937;0.3;-4.98565147072077
0.305;-0.0886750873178244;0.305;-5.29362240992486
0.31;-0.0737299667671323;0.31;-4.55846597440541
0.315;-0.0737299667671323;0.315;-4.33493867982179
0.32;-0.0886750873178244;0.32;-5.2389824045822
0.325;-0.0886750873178244;0.325;-5.24394967779517
0.33;-0.0637665530666709;0.33;-3.85808045137674
0.335;-0.078711673617363;0.335;-4.93597873859107
0.34;-0.0886750873178244;0.34;-5.34826241526753
0.345;-0.0737299667671323;0.345;-4.58330234047025
0.35;-0.0737299667671323;0.35;-4.41938232444227
0.355;-0.078711673617363;0.355;-5.05519329570234
0.36;-0.0836933804675937;0.36;-5.3681315081194
0.365;-0.0587848462164402;0.365;-3.70906225498766
0.37;-0.078711673617363;0.37;-4.90617509931326
0.375;-0.0886750873178244;0.375;-5.34826241526753
0.38;-0.0737299667671323;0.38;-4.63794234581292
0.385;-0.0737299667671323;0.385;-4.59820416010916
0.39;-0.0836933804675937;0.39;-5.08002966176718
0.395;-0.0886750873178244;0.395;-5.22408058494329
0.4;-0.0637665530666709;0.4;-3.89285136386752
0.405;-0.0836933804675937;0.405;-4.91114237252623
0.41;-0.0886750873178244;0.41;-5.3035569563508
0.415;-0.078711673617363;0.415;-4.66277871187776
0.42;-0.0737299667671323;0.42;-4.65781143866479
0.425;-0.0886750873178244;0.425;-5.16944057960063
0.43;-0.0836933804675937;0.43;-5.08499693498015
0.435;-0.0637665530666709;0.435;-4.26539685484022
0.44;-0.0836933804675937;0.44;-4.94094601180404
0.445;-0.0836933804675937;0.445;-5.28368786349893
0.45;-0.0737299667671323;0.45;-4.64787689223886
0.455;-0.078711673617363;0.455;-4.65284416545182
0.46;-0.0836933804675937;0.46;-5.27375331707299
0.465;-0.0836933804675937;0.465;-4.97074965108186
0.47;-0.0687482599169016;0.47;-4.13624775130302
0.475;-0.078711673617363;0.475;-4.96578237786889
0.48;-0.0836933804675937;0.48;-5.28368786349893
0.485;-0.0737299667671323;0.485;-4.61807325296104
0.49;-0.0737299667671323;0.49;-4.61807325296104
0.495;-0.0886750873178244;0.495;-5.28368786349893
0.5;-0.0836933804675937;0.5;-4.95584783144295
0.505;-0.0637665530666709;0.505;-3.86304772458971
0.51;-0.078711673617363;0.51;-4.79689508862793
0.515;-0.0886750873178244;0.515;-5.37309878133237
0.52;-0.0836933804675937;0.52;-4.60317143332213
0.525;-0.0737299667671323;0.525;-4.59323688689619
0.53;-0.0886750873178244;0.53;-5.27375331707299
0.535;-0.0836933804675937;0.535;-4.99558601714671
0.54;-0.0587848462164402;0.54;-3.8481459049508
0.545;-0.078711673617363;0.545;-4.89127327967435
0.55;-0.0886750873178244;0.55;-5.19924421887845
0.555;-0.078711673617363;0.555;-4.65284416545182
0.56;-0.0737299667671323;0.56;-4.59820416010916
0.565;-0.0886750873178244;0.565;-5.24394967779517
0.57;-0.0886750873178244;0.57;-5.29858968313783
0.575;-0.0637665530666709;0.575;-3.96239318884909
0.58;-0.0836933804675937;0.58;-5.03532420285046
0.585;-0.0836933804675937;0.585;-5.13466966710985
0.59;-0.078711673617363;0.59;-4.59323688689619
0.595;-0.0737299667671323;0.595;-4.61807325296104
0.6;-0.0886750873178244;0.6;-5.20421149209142
0.605;-0.0986385010182858;0.605;-5.26878604386002
0.61;-0.0687482599169016;0.61;-4.09650956559926
0.615;-0.0836933804675937;0.615;-5.07506238855422
0.62;-0.0886750873178244;0.62;-5.22408058494329
0.625;-0.078711673617363;0.625;-4.44918596372008
0.63;-0.0737299667671323;0.63;-4.55846597440541
0.635;-0.0886750873178244;0.635;-5.22408058494329
0.64;-0.0886750873178244;0.64;-5.25885149743408
0.645;-0.0687482599169016;0.645;-3.92265500314534
0.65;-0.0886750873178244;0.65;-5.05519329570234
0.655;-0.0886750873178244;0.655;-5.3035569563508
0.66;-0.078711673617363;0.66;-4.50879324227571
0.665;-0.078711673617363;0.665;-4.42931687086821
0.67;-0.0886750873178244;0.67;-5.26878604386002
0.675;-0.0936567941680551;0.675;-5.24394967779517
0.68;-0.0637665530666709;0.68;-3.83821135852486
0.685;-0.0886750873178244;0.685;-5.02042238321155
0.69;-0.0886750873178244;0.69;-5.34329514205456
0.695;-0.0737299667671323;0.695;-4.5435641547665
0.7;-0.0737299667671323;0.7;-4.53859688155353
0.705;-0.0886750873178244;0.705;-5.08002966176718
0.71;-0.0936567941680551;0.71;-5.34329514205456
0.715;-0.0637665530666709;0.715;-3.81337499246001
0.72;-0.0836933804675937;0.72;-5.00055329035968
0.725;-0.0936567941680551;0.725;-5.34329514205456
0.73;-0.078711673617363;0.73;-4.58330234047025
0.735;-0.0886750873178244;0.735;-4.68761507794261
0.74;-0.0836933804675937;0.74;-5.09989875461906
0.745;-0.0886750873178244;0.745;-5.19924421887845
0.75;-0.0637665530666709;0.75;-3.88291681744158
0.755;-0.0886750873178244;0.755;-5.00055329035968
0.76;-0.0936567941680551;0.76;-5.3035569563508
0.765;-0.078711673617363;0.765;-4.58826961368322
0.77;-0.0836933804675937;0.77;-4.75715690292418
0.775;-0.0936567941680551;0.775;-5.21414603851736
0.78;-0.0886750873178244;0.78;-5.01048783678561
0.785;-0.0687482599169016;0.785;-3.83821135852486
0.79;-0.0836933804675937;0.79;-5.05022602248937
0.795;-0.0936567941680551;0.795;-5.2886551367119
0.8;-0.0836933804675937;0.8;-4.59820416010916
0.805;-0.0886750873178244;0.805;-4.77205872256309
0.81;-0.0936567941680551;0.81;-5.28368786349893
